source_url	name	url	date	latitude	longitude
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	African Meeting House	http://en.wikipedia.org/wiki/African_Meeting_House	May 30, 1974	42.3599	-71.0655
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Nathan Appleton Residence	http://en.wikipedia.org/wiki/Nathan_Appleton_Residence	December 22, 1977	42.3569	-71.0663
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Arnold Arboretum	http://en.wikipedia.org/wiki/Arnold_Arboretum	January 12, 1965	42.2978	-71.1228
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Frederick Ayer Mansion	http://en.wikipedia.org/wiki/Frederick_Ayer_Mansion	April 5, 2005	42.3493	-71.0903
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Beacon Hill Historic District	http://en.wikipedia.org/wiki/Beacon_Hill,_Boston,_Massachusetts	December 29, 1962	42.3583	-71.0661
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Boston Athenaeum	http://en.wikipedia.org/wiki/Boston_Athenaeum	December 21, 1965	42.3582	-71.0620
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Boston Common	http://en.wikipedia.org/wiki/Boston_Common_(park)	February 27, 1987	42.355	-71.0656
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Boston Light	http://en.wikipedia.org/wiki/Boston_Light	January 29, 1964	42.3279	-70.8900
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Boston Naval Shipyard	http://en.wikipedia.org/wiki/Boston_Navy_Yard	November 13, 1966	42.3738	-71.0565
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Boston Public Gardens	http://en.wikipedia.org/wiki/Public_Garden_(Boston)	February 27, 1987	42.3541	-71.0699
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Boston Public Library	http://en.wikipedia.org/wiki/Boston_Public_Library,_McKim_Building	February 24, 1986	42.3496	-71.0776
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Brook Farm	http://en.wikipedia.org/wiki/Brook_Farm	July 23, 1965	42.2914	-71.1741
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Bunker Hill Monument	http://en.wikipedia.org/wiki/Bunker_Hill_Monument	January 20, 1961	42.3763	-71.0608
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	USS Cassin Young (destroyer)	http://en.wikipedia.org/wiki/USS_Cassin_Young_(DD-793)	January 14, 1986	42.3722	-71.0545
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Central Congregational Church	http://en.wikipedia.org/wiki/Central_Congregational_Church_(Boston,_Massachusetts)	October 16, 2012	42.3521	-71.0741
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	USS Constitution (frigate)	http://en.wikipedia.org/wiki/USS_Constitution	December 19, 1960	42.3721	-71.0556
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Ether Dome, Massachusetts General Hospital	http://en.wikipedia.org/wiki/Ether_Dome,_Massachusetts_General_Hospital	January 12, 1965	42.3635	-71.0679
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Faneuil Hall	http://en.wikipedia.org/wiki/Faneuil_Hall	October 9, 1960	42.3601	-71.0563
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Fenway Studios	http://en.wikipedia.org/wiki/Fenway_Studios	August 5, 1998	42.3475	-71.0898
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	First Harrison Gray Otis House	http://en.wikipedia.org/wiki/First_Harrison_Gray_Otis_House	December 30, 1970	42.3612	-71.0646
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Fort Warren	http://en.wikipedia.org/wiki/Fort_Warren_(Massachusetts)	May 22, 1970	42.3202	-70.9276
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	William Lloyd Garrison House	http://en.wikipedia.org/wiki/William_Lloyd_Garrison_House	June 23, 1965	42.3258	-71.0932
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Gibson House	http://en.wikipedia.org/wiki/Gibson_House_Museum	August 7, 2001	42.3549	-71.0745
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Chester Harding House	http://en.wikipedia.org/wiki/Chester_Harding_House	December 21, 1965	42.358	-71.0625
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Harvard Stadium	http://en.wikipedia.org/wiki/Harvard_Stadium	February 27, 1987	42.3664	-71.1272
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Samuel Gridley and Julia Ward Howe House	http://en.wikipedia.org/wiki/Samuel_Gridley_and_Julia_Ward_Howe_House	May 30, 1974	42.3577	-71.0668
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	King's Chapel	http://en.wikipedia.org/wiki/King%27s_Chapel	October 9, 1960	42.3580	-71.0604
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Lightship No. 112, "Nantucket"	http://en.wikipedia.org/wiki/Nantucket_(lightship)	December 20, 1989	42.3612	-71.0353
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Long Wharf and Custom House Block	http://en.wikipedia.org/wiki/Long_Wharf_(Boston)	November 13, 1966	42.3603	-71.0487
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Luna (tugboat)	http://en.wikipedia.org/wiki/Luna_(Tugboat)	April 11, 1989	42.36575	-71.07424
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Massachusetts General Hospital	http://en.wikipedia.org/wiki/Massachusetts_General_Hospital,_Bulfinch_Building	December 30, 1970	42.3635	-71.0676
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Massachusetts Historical Society Building	http://en.wikipedia.org/wiki/Massachusetts_Historical_Society_Building	December 21, 1965	42.3467	-71.0900
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	Massachusetts Statehouse	http://en.wikipedia.org/wiki/Massachusetts_Statehouse	December 19, 1960	42.3584	-71.064
http://en.wikipedia.org/wiki/List_of_National_Historic_Landmarks_in_Boston	William C. Nell Residence	http://en.wikipedia.org/wiki/William_C._Nell_House	May 11, 1976	42.3601	-71.0654
