,school,conference,position,height
0,University of Alabama,Southeastern Conference,F,6-0
1,University of Alabama,Southeastern Conference,F,6-1
2,University of Alabama,Southeastern Conference,G,6-0
3,University of Alabama,Southeastern Conference,F,6-4
4,University of Alabama,Southeastern Conference,G,5-9
5,University of Alabama,Southeastern Conference,F,6-2
6,University of Alabama,Southeastern Conference,F,6-1
7,University of Alabama,Southeastern Conference,G,5-8
8,University of Alabama,Southeastern Conference,F,6-3
9,University of Alabama,Southeastern Conference,G,5-7
10,University of Alabama,Southeastern Conference,G,5-3
11,University of Alabama,Southeastern Conference,F,6-0
12,Austin Peay State University,Ohio Valley Conference,C,6-1
13,Austin Peay State University,Ohio Valley Conference,G,5-9
14,Austin Peay State University,Ohio Valley Conference,C,6-3
15,Austin Peay State University,Ohio Valley Conference,G,5-10
16,Austin Peay State University,Ohio Valley Conference,G,5-8
17,Austin Peay State University,Ohio Valley Conference,F,6-1
18,Austin Peay State University,Ohio Valley Conference,G,5-8
19,Austin Peay State University,Ohio Valley Conference,C,6-3
20,Austin Peay State University,Ohio Valley Conference,F,5-11
21,Austin Peay State University,Ohio Valley Conference,F,5-11
22,Austin Peay State University,Ohio Valley Conference,C,6-0
23,Austin Peay State University,Ohio Valley Conference,G,5-10
24,Austin Peay State University,Ohio Valley Conference,G,5-5
25,Austin Peay State University,Ohio Valley Conference,G,5-8
26,Austin Peay State University,Ohio Valley Conference,G,5-9
27,UTSA,Conference USA,G,5-9
28,UTSA,Conference USA,F,5-11
29,UTSA,Conference USA,F,5-11
30,UTSA,Conference USA,F,5-9
31,UTSA,Conference USA,G,5-6
32,UTSA,Conference USA,G,6-0
33,UTSA,Conference USA,F,5-10
34,UTSA,Conference USA,G,5-6
35,UTSA,Conference USA,G,5-6
36,UTSA,Conference USA,F,5-10
37,UTSA,Conference USA,C,6-1
38,UTSA,Conference USA,G,5-9
39,UTSA,Conference USA,G,5-9
40,UTSA,Conference USA,F,6-2
41,UTEP,Conference USA,C,6-3
42,UTEP,Conference USA,F,6-1
43,UTEP,Conference USA,G,6-1
44,UTEP,Conference USA,F,6-0
45,UTEP,Conference USA,G,5-11
46,UTEP,Conference USA,F,6-1
47,UTEP,Conference USA,G,5-7
48,UTEP,Conference USA,C,6-3
49,UTEP,Conference USA,G,5-7
50,UTEP,Conference USA,G,5-10
51,UTEP,Conference USA,G,5-7
52,UTEP,Conference USA,G,5-10
53,UTEP,Conference USA,G,5-7
54,UTEP,Conference USA,G,5-9
55,UTEP,Conference USA,F,6-0
56,University of Wyoming,Mountain West Conference,F,6-0
57,University of Wyoming,Mountain West Conference,F,6-2
58,University of Wyoming,Mountain West Conference,F,6-2
59,University of Wyoming,Mountain West Conference,G,5-9
60,University of Wyoming,Mountain West Conference,G,5-7
61,University of Wyoming,Mountain West Conference,G,5-9
62,University of Wyoming,Mountain West Conference,G,5-8
63,University of Wyoming,Mountain West Conference,G,5-10
64,University of Wyoming,Mountain West Conference,C,6-4
65,University of Wyoming,Mountain West Conference,G,5-11
66,University of Wyoming,Mountain West Conference,F,6-1
67,University of Wyoming,Mountain West Conference,G,5-10
68,University of Wyoming,Mountain West Conference,F,5-11
69,Xavier University,Big East Conference,F,6-0
70,Xavier University,Big East Conference,G,5-9
71,Xavier University,Big East Conference,G,5-10
72,Xavier University,Big East Conference,G,5-7
73,Xavier University,Big East Conference,G,5-9
74,Xavier University,Big East Conference,G,5-9
75,Xavier University,Big East Conference,G,5-8
76,Xavier University,Big East Conference,G,5-9
77,Xavier University,Big East Conference,F,6-2
78,Xavier University,Big East Conference,G,5-6
79,Xavier University,Big East Conference,F,6-0
80,Xavier University,Big East Conference,F,6-2
81,Xavier University,Big East Conference,G,5-9
82,Xavier University,Big East Conference,G,5-6
83,Xavier University,Big East Conference,G,5-7
84,Xavier University,Big East Conference,F,6-2
85,Wright State University,Horizon League,G,6-1
86,Wright State University,Horizon League,G,5-10
87,Wright State University,Horizon League,G,5-8
88,Wright State University,Horizon League,G,5-9
89,Wright State University,Horizon League,G,5-10
90,Wright State University,Horizon League,G,5-7
91,Wright State University,Horizon League,G,5-7
92,Wright State University,Horizon League,G,5-7
93,Wright State University,Horizon League,F,5-10
94,Wright State University,Horizon League,F,6-0
95,Wright State University,Horizon League,F,6-0
96,Wright State University,Horizon League,G,5-6
97,Wright State University,Horizon League,C,6-5
98,Youngstown State University,Horizon League,G,5-7
99,Youngstown State University,Horizon League,G,5-6
100,Youngstown State University,Horizon League,F,6-1
101,Youngstown State University,Horizon League,G,5-7
102,Youngstown State University,Horizon League,G,5-9
103,Youngstown State University,Horizon League,F,6-0
104,Youngstown State University,Horizon League,G,5-9
105,Youngstown State University,Horizon League,F,5-11
106,Youngstown State University,Horizon League,F,6-0
107,Youngstown State University,Horizon League,G,5-10
108,Youngstown State University,Horizon League,F,6-0
109,Youngstown State University,Horizon League,F,6-2
110,Youngstown State University,Horizon League,G,5-9
111,Purdue University,Big Ten Conference,F,6-2
112,Purdue University,Big Ten Conference,F,6-3
113,Purdue University,Big Ten Conference,F,6-2
114,Purdue University,Big Ten Conference,G,5-10
115,Purdue University,Big Ten Conference,G,5-7
116,Purdue University,Big Ten Conference,C,6-5
117,Purdue University,Big Ten Conference,G,5-10
118,Purdue University,Big Ten Conference,F,6-2
119,Purdue University,Big Ten Conference,G,5-9
120,Purdue University,Big Ten Conference,G,6-2
121,Purdue University,Big Ten Conference,G,6-0
122,Purdue University,Big Ten Conference,G,5-7
123,Quinnipiac University,Metro Atlantic Athletic Conference,G,5-9
124,Quinnipiac University,Metro Atlantic Athletic Conference,F,6-0
125,Quinnipiac University,Metro Atlantic Athletic Conference,C,6-4
126,Quinnipiac University,Metro Atlantic Athletic Conference,G,5-5
127,Quinnipiac University,Metro Atlantic Athletic Conference,G,5-6
128,Quinnipiac University,Metro Atlantic Athletic Conference,F,6-0
129,Quinnipiac University,Metro Atlantic Athletic Conference,F,6-1
130,Quinnipiac University,Metro Atlantic Athletic Conference,G,5-11
131,Quinnipiac University,Metro Atlantic Athletic Conference,F,6-1
132,Quinnipiac University,Metro Atlantic Athletic Conference,G,5-6
133,Quinnipiac University,Metro Atlantic Athletic Conference,G,5-8
134,Quinnipiac University,Metro Atlantic Athletic Conference,G,5-9
135,Quinnipiac University,Metro Atlantic Athletic Conference,F,6-0
136,Quinnipiac University,Metro Atlantic Athletic Conference,G,5-10
137,Quinnipiac University,Metro Atlantic Athletic Conference,F,6-2
138,Quinnipiac University,Metro Atlantic Athletic Conference,F,5-9
139,Murray State University,Ohio Valley Conference,F,6-0
140,Murray State University,Ohio Valley Conference,G,5-8
141,Murray State University,Ohio Valley Conference,F,6-2
142,Murray State University,Ohio Valley Conference,G,5-7
143,Murray State University,Ohio Valley Conference,G,5-11
144,Murray State University,Ohio Valley Conference,G,5-8
145,Murray State University,Ohio Valley Conference,C,6-2
146,Murray State University,Ohio Valley Conference,F,6-1
147,Murray State University,Ohio Valley Conference,F,6-4
148,Murray State University,Ohio Valley Conference,F,6-1
149,Murray State University,Ohio Valley Conference,G,5-9
150,Murray State University,Ohio Valley Conference,G,5-9
151,Murray State University,Ohio Valley Conference,G,5-3
152,Murray State University,Ohio Valley Conference,G,5-8
153,Mount St. Mary's University,Northeast Conference,C,6-0
154,Mount St. Mary's University,Northeast Conference,G,5-7
155,Mount St. Mary's University,Northeast Conference,G,5-7
156,Mount St. Mary's University,Northeast Conference,G,5-10
157,Mount St. Mary's University,Northeast Conference,G,5-8
158,Mount St. Mary's University,Northeast Conference,G,5-7
159,Mount St. Mary's University,Northeast Conference,G,5-10
160,Mount St. Mary's University,Northeast Conference,G,5-8
161,Mount St. Mary's University,Northeast Conference,G,5-9
162,Mount St. Mary's University,Northeast Conference,C,6-1
163,Mount St. Mary's University,Northeast Conference,F,5-11
164,Mount St. Mary's University,Northeast Conference,F,6-1
165,Mount St. Mary's University,Northeast Conference,F,6-0
166,Mount St. Mary's University,Northeast Conference,F,5-11
167,Mount St. Mary's University,Northeast Conference,G,5-10
168,Morgan State University,Mid-Eastern Athletic Conf.,F,6-0
169,Morgan State University,Mid-Eastern Athletic Conf.,F,6-0
170,Morgan State University,Mid-Eastern Athletic Conf.,G,5-9
171,Morgan State University,Mid-Eastern Athletic Conf.,G,5-8
172,Morgan State University,Mid-Eastern Athletic Conf.,F,6-0
173,Morgan State University,Mid-Eastern Athletic Conf.,G,5-6
174,Morgan State University,Mid-Eastern Athletic Conf.,G,5-9
175,Morgan State University,Mid-Eastern Athletic Conf.,G,5-9
